data_entry,id,trial,movement,number,comment
caterina,P05,79,outwards,28,
caterina,P05,80,inwards,30,
caterina,P05,81,outwards,NA,
caterina,P05,82,inwards,NA,
caterina,P05,83,outwards,NA,
caterina,P05,84,inwards,NA,
caterina,P05,85,outwards,NA,
caterina,P05,86,inwards,NA,
caterina,P05,87,outwards,NA,
caterina,P05,88,inwards,NA,
caterina,P05,89,outwards,NA,
caterina,P05,90,inwards,NA,
caterina,P05,91,outwards,NA,
caterina,P05,92,inwards,NA,
caterina,P05,93,outwards,NA,
caterina,P05,94,inwards,NA,
caterina,P05,95,outwards,NA,
caterina,P05,96,inwards,NA,
caterina,P05,97,outwards,NA,
caterina,P05,98,inwards,NA,
caterina,P05,99,outwards,NA,
caterina,P05,100,inwards,NA,
caterina,P06,1,outwards,15,
caterina,P06,2,inwards,10,
caterina,P06,3,outwards,20,
caterina,P06,4,inwards,30,
caterina,P06,5,outwards,3,
caterina,P06,6,inwards,4,
caterina,P06,7,outwards,8,
caterina,P06,8,inwards,9,
caterina,P06,9,outwards,11,
caterina,P06,10,inwards,16,
caterina,P06,11,outwards,18,
caterina,P06,12,inwards,12,
caterina,P06,13,outwards,1,
caterina,P06,14,inwards,9,
caterina,P06,15,outwards,10,
caterina,P06,16,inwards,23,
caterina,P06,17,outwards,25,
caterina,P06,18,inwards,28,
caterina,P06,19,outwards,12,
caterina,P06,20,inwards,3,
caterina,P06,21,outwards,5,
caterina,P06,22,inwards,6,
caterina,P06,23,outwards,27,
caterina,P06,24,inwards,29,
caterina,P06,25,outwards,30,
caterina,P06,26,inwards,23,
caterina,P06,27,outwards,22,
caterina,P06,28,inwards,1,
caterina,P06,29,outwards,6,
caterina,P06,30,inwards,4,
caterina,P06,31,outwards,28,
caterina,P06,32,inwards,22,
caterina,P06,33,outwards,19,
caterina,P06,34,inwards,17,
caterina,P06,35,outwards,16,
caterina,P06,36,inwards,15,
caterina,P06,37,outwards,1,
caterina,P06,38,inwards,6,
caterina,P06,39,outwards,7,
caterina,P06,40,inwards,8,
caterina,P06,41,outwards,29,
caterina,P06,42,inwards,28,
caterina,P06,43,outwards,21,
caterina,P06,44,inwards,26,
caterina,P06,45,outwards,27,
caterina,P06,46,inwards,5,
caterina,P06,47,outwards,8,
caterina,P06,48,inwards,3,
caterina,P06,49,outwards,9,
caterina,P06,50,inwards,11,
caterina,P06,51,outwards,13,
caterina,P06,52,inwards,17,
caterina,P06,53,outwards,18,
caterina,P06,54,inwards,1,
caterina,P06,55,outwards,6,
caterina,P06,56,inwards,3,
caterina,P06,57,outwards,2,
caterina,P06,58,inwards,26,
caterina,P06,59,outwards,28,
caterina,P06,60,inwards,22,
caterina,P06,61,outwards,20,
caterina,P06,62,inwards,30,
caterina,P06,63,outwards,19,
caterina,P06,64,inwards,17,
caterina,P06,65,outwards,15,
caterina,P06,66,inwards,8,
caterina,P06,67,outwards,6,
caterina,P06,68,inwards,4,
caterina,P06,69,outwards,3,
caterina,P06,70,inwards,1,
caterina,P06,71,outwards,5,
caterina,P06,72,inwards,8,
caterina,P06,73,outwards,9,
caterina,P06,74,inwards,13,
caterina,P06,75,outwards,14,
caterina,P06,76,inwards,15,
caterina,P06,77,outwards,18,
caterina,P06,78,inwards,17,
caterina,P06,79,outwards,9,
caterina,P06,80,inwards,18,
caterina,P06,81,outwards,NA,
caterina,P06,82,inwards,NA,
caterina,P06,83,outwards,NA,
caterina,P06,84,inwards,NA,
caterina,P06,85,outwards,NA,
caterina,P06,86,inwards,NA,
caterina,P06,87,outwards,NA,
caterina,P06,88,inwards,NA,
caterina,P06,89,outwards,NA,
caterina,P06,90,inwards,NA,
caterina,P06,91,outwards,NA,
caterina,P06,92,outwards,NA,
caterina,P06,93,inwards,NA,
caterina,P06,94,outwards,NA,
caterina,P06,95,inwards,NA,
caterina,P06,96,outwards,NA,
caterina,P06,97,inwards,NA,
caterina,P06,98,outwards,NA,
caterina,P06,99,inwards,NA,
caterina,P06,100,outwards,NA,
caterina,P07,1,outwards,20,
caterina,P07,2,inwards,22,
caterina,P07,3,outwards,13,
caterina,P07,4,inwards,14,
caterina,P07,5,outwards,1,
caterina,P07,6,inwards,21,
caterina,P07,7,outwards,7,
caterina,P07,8,inwards,30,
caterina,P07,9,outwards,29,
caterina,P07,10,inwards,3,
caterina,P07,11,outwards,6,
caterina,P07,12,inwards,3,
caterina,P07,13,outwards,8,
caterina,P07,14,inwards,23,
caterina,P07,15,outwards,21,
caterina,P07,16,inwards,18,
caterina,P07,17,outwards,22,
caterina,P07,18,inwards,24,
caterina,P07,19,outwards,17,
caterina,P07,20,inwards,18,
caterina,P07,21,outwards,4,
caterina,P07,22,inwards,21,
caterina,P07,23,outwards,7,
caterina,P07,24,inwards,19,
caterina,P07,25,outwards,23,
caterina,P07,26,inwards,28,
caterina,P07,27,outwards,26,
caterina,P07,28,inwards,14,
caterina,P07,29,outwards,15,
caterina,P07,30,inwards,18,
caterina,P07,31,outwards,20,
caterina,P07,32,inwards,30,
caterina,P07,33,outwards,1,
caterina,P07,34,inwards,4,
caterina,P07,35,outwards,7,
caterina,P07,36,inwards,10,
caterina,P07,37,outwards,5,
caterina,P07,38,inwards,7,
caterina,P07,39,outwards,8,
caterina,P07,40,inwards,20,
caterina,P07,41,outwards,22,
caterina,P07,42,inwards,24,
caterina,P07,43,outwards,26,
caterina,P07,44,inwards,30,
caterina,P07,45,outwards,3,
caterina,P07,46,inwards,5,
caterina,P07,47,outwards,8,
caterina,P07,48,inwards,17,
caterina,P07,49,outwards,9,
caterina,P07,50,inwards,10,
caterina,P07,51,outwards,27,
caterina,P07,52,inwards,29,
caterina,P07,53,outwards,30,
caterina,P07,54,inwards,1,
caterina,P07,55,outwards,4,
caterina,P07,56,inwards,6,
caterina,P07,57,outwards,8,
caterina,P07,58,inwards,10,
caterina,P07,59,outwards,15,
caterina,P07,60,inwards,28,
caterina,P07,61,outwards,30,
caterina,P07,62,inwards,3,
caterina,P07,63,outwards,5,
caterina,P07,64,inwards,6,
caterina,P07,65,outwards,8,
caterina,P07,66,inwards,17,
caterina,P07,67,outwards,16,
caterina,P07,68,inwards,21,
caterina,P07,69,outwards,25,
caterina,P07,70,inwards,28,
caterina,P07,71,outwards,30,
caterina,P07,72,inwards,12,
caterina,P07,73,outwards,16,
caterina,P07,74,inwards,18,
caterina,P07,75,outwards,21,
caterina,P07,76,inwards,23,
caterina,P07,77,outwards,27,
caterina,P07,78,inwards,29,
caterina,P07,79,outwards,30,
caterina,P07,80,inwards,4,
caterina,P07,81,outwards,NA,
caterina,P07,82,inwards,NA,
caterina,P07,83,outwards,NA,
caterina,P07,84,inwards,NA,
caterina,P07,85,outwards,NA,
caterina,P07,86,inwards,NA,
caterina,P07,87,outwards,NA,
caterina,P07,88,inwards,NA,
caterina,P07,89,outwards,NA,
caterina,P07,90,inwards,NA,
caterina,P07,91,outwards,NA,
caterina,P07,92,inwards,NA,
caterina,P07,93,outwards,NA,
caterina,P07,94,inwards,NA,
caterina,P07,95,outwards,NA,
caterina,P07,96,inwards,NA,
caterina,P07,97,outwards,NA,
caterina,P07,98,inwards,NA,
caterina,P07,99,outwards,NA,
caterina,P07,100,inwards,NA,
caterina,P08,1,outwards,8,
caterina,P08,2,inwards,7,
caterina,P08,3,outwards,15,
caterina,P08,4,inwards,20,
caterina,P08,5,outwards,29,
caterina,P08,6,inwards,6,
caterina,P08,7,outwards,3,
caterina,P08,8,inwards,12,
caterina,P08,9,outwards,21,
caterina,P08,10,inwards,28,
caterina,P08,11,outwards,25,
caterina,P08,12,inwards,12,
caterina,P08,13,outwards,6,
caterina,P08,14,inwards,1,
caterina,P08,15,outwards,9,
caterina,P08,16,inwards,13,
caterina,P08,17,outwards,15,
caterina,P08,18,inwards,20,
caterina,P08,19,outwards,22,
caterina,P08,20,inwards,28,
caterina,P08,21,outwards,3,
caterina,P08,22,inwards,6,
caterina,P08,23,outwards,8,
caterina,P08,24,inwards,11,
caterina,P08,25,outwards,13,
caterina,P08,26,inwards,21,
caterina,P08,27,outwards,19,
caterina,P08,28,inwards,30,
caterina,P08,29,outwards,1,
caterina,P08,30,inwards,28,
caterina,P08,31,outwards,16,
caterina,P08,32,inwards,6,
caterina,P08,33,outwards,11,
caterina,P08,34,inwards,9,
caterina,P08,35,outwards,19,
caterina,P08,36,inwards,21,
caterina,P08,37,outwards,27,
caterina,P08,38,inwards,22,
caterina,P08,39,outwards,2,
caterina,P08,40,inwards,7,
caterina,P08,41,outwards,6,
caterina,P08,42,inwards,9,
caterina,P08,43,outwards,15,
caterina,P08,44,inwards,12,
caterina,P08,45,outwards,19,
caterina,P08,46,inwards,28,
caterina,P08,47,outwards,21,
caterina,P08,48,inwards,1,
caterina,P08,49,outwards,5,
caterina,P08,50,inwards,6,
caterina,P08,51,outwards,8,
caterina,P08,52,inwards,19,
caterina,P08,53,outwards,26,
caterina,P08,54,inwards,30,
caterina,P08,55,outwards,20,
caterina,P08,56,inwards,2,
caterina,P08,57,outwards,9,
caterina,P08,58,inwards,11,
caterina,P08,59,outwards,4,
caterina,P08,60,inwards,24,
caterina,P08,61,outwards,7,
caterina,P08,62,inwards,1,
caterina,P08,63,outwards,28,
caterina,P08,64,inwards,13,
caterina,P08,65,outwards,23,
caterina,P08,66,inwards,14,
caterina,P08,67,outwards,6,
caterina,P08,68,inwards,7,
caterina,P08,69,outwards,9,
caterina,P08,70,inwards,13,
caterina,P08,71,outwards,24,
caterina,P08,72,inwards,15,
caterina,P08,73,outwards,18,
caterina,P08,74,inwards,5,
caterina,P08,75,outwards,7,
caterina,P08,76,inwards,13,
caterina,P08,77,outwards,16,
caterina,P08,78,inwards,19,
caterina,P08,79,outwards,26,
caterina,P08,80,inwards,21,
caterina,P08,81,outwards,NA,
caterina,P08,82,inwards,NA,
caterina,P08,83,outwards,NA,
caterina,P08,84,inwards,NA,
caterina,P08,85,outwards,NA,
caterina,P08,86,inwards,NA,
caterina,P08,87,outwards,NA,
caterina,P08,88,inwards,NA,
caterina,P08,89,outwards,NA,
caterina,P08,90,inwards,NA,
caterina,P08,91,outwards,NA,
caterina,P08,92,inwards,NA,
caterina,P08,93,outwards,NA,
caterina,P08,94,inwards,NA,
caterina,P08,95,outwards,NA,
caterina,P08,96,inwards,NA,
caterina,P08,97,outwards,NA,
caterina,P08,98,inwards,NA,
caterina,P08,99,outwards,NA,
caterina,P08,100,inwards,NA,
caterina,P09,1,outwards,11,
caterina,P09,2,inwards,15,
caterina,P09,3,outwards,20,
caterina,P09,4,inwards,8,
caterina,P09,5,outwards,2,
caterina,P09,6,inwards,30,
caterina,P09,7,outwards,13,
caterina,P09,8,inwards,7,
caterina,P09,9,outwards,4,
caterina,P09,10,inwards,22,
caterina,P09,11,outwards,18,
caterina,P09,12,inwards,9,
caterina,P09,13,outwards,7,
caterina,P09,14,inwards,23,
caterina,P09,15,outwards,30,
caterina,P09,16,inwards,7,
caterina,P09,17,outwards,15,
caterina,P09,18,inwards,19,
caterina,P09,19,outwards,26,
caterina,P09,20,inwards,20,
caterina,P09,21,outwards,1,
caterina,P09,22,inwards,9,
caterina,P09,23,outwards,10,
caterina,P09,24,inwards,4,
caterina,P09,25,outwards,16,
caterina,P09,26,inwards,11,
caterina,P09,27,outwards,23,
caterina,P09,28,inwards,7,
caterina,P09,29,outwards,10,
caterina,P09,30,inwards,15,
caterina,P09,31,outwards,18,
caterina,P09,32,inwards,20,
caterina,P09,33,outwards,27,
caterina,P09,34,inwards,16,
caterina,P09,35,outwards,3,
caterina,P09,36,inwards,14,
caterina,P09,37,outwards,21,
caterina,P09,38,inwards,10,
caterina,P09,39,outwards,5,
caterina,P09,40,inwards,8,
caterina,P09,41,outwards,18,
caterina,P09,42,inwards,11,
caterina,P09,43,outwards,24,
caterina,P09,44,inwards,16,
caterina,P09,45,outwards,1,
caterina,P09,46,inwards,29,
