subject,language,movement,number,trial
eng_23_P07,english,inwards,30,16
eng_23_P07,english,outwards,27,17
eng_23_P07,english,inwards,14,20
eng_23_P07,english,inwards,13,22
eng_23_P07,english,outwards,2,23
eng_23_P07,english,inwards,8,24
eng_23_P07,english,outwards,7,25
eng_23_P07,english,inwards,14,26
eng_23_P07,english,outwards,16,27
eng_23_P07,english,inwards,19,28
eng_23_P07,english,outwards,21,31
eng_23_P07,english,inwards,25,32
eng_23_P07,english,outwards,3,33
eng_23_P07,english,inwards,2,34
eng_23_P07,english,outwards,19,35
eng_23_P07,english,inwards,18,36
eng_23_P07,english,outwards,13,37
eng_23_P07,english,inwards,9,38
eng_23_P07,english,outwards,25,39
eng_23_P07,english,inwards,27,40
eng_23_P07,english,outwards,13,41
eng_23_P07,english,inwards,1,42
eng_23_P07,english,outwards,3,43
eng_23_P07,english,inwards,15,44
eng_23_P07,english,outwards,19,45
eng_23_P07,english,inwards,20,46
eng_23_P07,english,outwards,24,47
eng_23_P07,english,inwards,30,48
eng_23_P07,english,outwards,29,49
eng_23_P07,english,inwards,2,50
eng_23_P07,english,outwards,3,51
eng_23_P07,english,inwards,4,52
eng_23_P07,english,outwards,10,53
eng_23_P07,english,inwards,11,54
eng_23_P07,english,outwards,14,55
eng_23_P07,english,inwards,15,56
eng_23_P07,english,outwards,20,57
eng_23_P07,english,inwards,21,58
eng_23_P07,english,outwards,30,59
eng_23_P07,english,inwards,29,60
eng_23_P07,english,outwards,28,61
eng_23_P07,english,inwards,15,62
eng_23_P07,english,outwards,13,63
eng_23_P07,english,inwards,12,64
eng_23_P07,english,outwards,14,65
eng_23_P07,english,inwards,3,66
eng_23_P07,english,outwards,1,67
eng_23_P07,english,inwards,2,68
eng_23_P07,english,outwards,5,69
eng_23_P07,english,inwards,6,70
eng_23_P07,english,outwards,17,71
eng_23_P07,english,inwards,25,72
eng_23_P07,english,outwards,19,73
eng_23_P07,english,inwards,18,74
eng_23_P07,english,outwards,20,75
eng_23_P07,english,outwards,21,77
eng_23_P07,english,inwards,22,78
eng_23_P07,english,outwards,25,79
eng_23_P07,english,inwards,30,80
eng_23_P07,english,outwards,19,81
eng_23_P07,english,inwards,17,82
eng_23_P07,english,outwards,17,83
eng_23_P07,english,inwards,18,84
eng_23_P07,english,outwards,16,85
eng_23_P07,english,inwards,4,86
eng_23_P07,english,outwards,8,87
eng_23_P07,english,inwards,12,88
eng_23_P07,english,outwards,20,89
eng_23_P07,english,inwards,16,90
eng_23_P07,english,outwards,18,91
eng_23_P07,english,inwards,26,92
eng_23_P07,english,outwards,27,93
eng_23_P07,english,inwards,29,94
eng_23_P07,english,outwards,3,95
eng_23_P07,english,inwards,2,96
eng_23_P07,english,outwards,1,97
eng_23_P07,english,inwards,9,98
eng_23_P08,english,outwards,23,1
eng_23_P08,english,inwards,17,2
eng_23_P08,english,outwards,6,3
eng_23_P08,english,inwards,5,4
eng_23_P08,english,outwards,14,5
eng_23_P08,english,inwards,12,6
eng_23_P08,english,outwards,1,7
eng_23_P08,english,inwards,24,8
eng_23_P08,english,outwards,27,9
eng_23_P08,english,inwards,30,10
eng_23_P08,english,outwards,19,11
eng_23_P08,english,inwards,6,12
eng_23_P08,english,outwards,3,13
eng_23_P08,english,inwards,15,14
eng_23_P08,english,outwards,17,15
eng_23_P08,english,inwards,23,16
eng_23_P08,english,outwards,20,17
eng_23_P08,english,inwards,10,18
eng_23_P08,english,outwards,5,19
eng_23_P08,english,inwards,6,20
eng_23_P08,english,outwards,1,21
eng_23_P08,english,inwards,4,22
eng_23_P08,english,outwards,12,23
eng_23_P08,english,inwards,19,24
eng_23_P08,english,outwards,26,25
eng_23_P08,english,inwards,25,26
eng_23_P08,english,outwards,30,27
eng_23_P08,english,inwards,12,28
eng_23_P08,english,outwards,6,29
eng_23_P08,english,inwards,11,30
eng_23_P08,english,outwards,22,31
eng_23_P08,english,inwards,1,32
eng_23_P08,english,outwards,30,33
eng_23_P08,english,inwards,24,34
eng_23_P08,english,outwards,28,35
eng_23_P08,english,inwards,8,36
eng_23_P08,english,outwards,10,37
eng_23_P08,english,inwards,6,38
eng_23_P08,english,outwards,17,39
eng_23_P08,english,inwards,1,40
eng_23_P08,english,outwards,4,41
eng_23_P08,english,inwards,3,42
eng_23_P08,english,outwards,6,43
eng_23_P08,english,inwards,12,44
eng_23_P08,english,outwards,14,45
eng_23_P08,english,inwards,13,46
eng_23_P08,english,outwards,22,47
eng_23_P08,english,inwards,20,48
eng_23_P08,english,outwards,30,49
eng_23_P08,english,inwards,15,50
eng_23_P08,english,outwards,12,51
eng_23_P08,english,inwards,10,52
eng_23_P08,english,outwards,7,53
eng_23_P08,english,inwards,9,54
eng_23_P08,english,outwards,1,55
eng_23_P08,english,inwards,24,56
eng_23_P08,english,outwards,14,57
eng_23_P08,english,inwards,25,58
eng_23_P08,english,outwards,15,59
eng_23_P08,english,inwards,7,60
eng_23_P08,english,outwards,5,61
eng_23_P08,english,inwards,3,62
eng_23_P08,english,outwards,30,63
eng_23_P08,english,inwards,29,64
eng_23_P08,english,outwards,10,65
eng_23_P08,english,inwards,12,66
eng_23_P08,english,outwards,17,67
eng_23_P08,english,inwards,3,68
eng_23_P08,english,outwards,7,69
eng_23_P08,english,inwards,9,70
eng_23_P08,english,outwards,18,71
eng_23_P08,english,inwards,23,72
eng_23_P08,english,outwards,24,73
eng_23_P08,english,inwards,8,74
eng_23_P08,english,outwards,6,75
eng_23_P08,english,inwards,2,76
eng_23_P08,english,outwards,22,77
eng_23_P08,english,inwards,12,78
eng_23_P08,english,outwards,14,79
eng_23_P09,english,outwards,3,1
eng_23_P09,english,inwards,9,2
eng_23_P09,english,outwards,20,3
eng_23_P09,english,inwards,16,4
eng_23_P09,english,outwards,29,5
eng_23_P09,english,inwards,27,6
eng_23_P09,english,outwards,30,7
eng_23_P09,english,inwards,1,8
eng_23_P09,english,outwards,5,9
eng_23_P09,english,inwards,4,10
eng_23_P09,english,outwards,2,11
eng_23_P09,english,inwards,8,12
eng_23_P09,english,outwards,20,13
eng_23_P09,english,inwards,17,14
eng_23_P09,english,outwards,19,15
eng_23_P09,english,inwards,13,16
eng_23_P09,english,outwards,15,17
eng_23_P09,english,inwards,18,18
eng_23_P09,english,outwards,19,19
eng_23_P09,english,inwards,21,20
eng_23_P09,english,outwards,8,21
eng_23_P09,english,inwards,6,22
eng_23_P09,english,outwards,4,23
eng_23_P09,english,inwards,2,24
eng_23_P09,english,outwards,1,25
eng_23_P09,english,inwards,10,26
eng_23_P09,english,outwards,11,27
eng_23_P09,english,inwards,12,28
eng_23_P09,english,outwards,9,29
eng_23_P09,english,inwards,15,30
eng_23_P09,english,outwards,14,31
eng_23_P09,english,inwards,25,32
eng_23_P09,english,outwards,24,33
eng_23_P09,english,inwards,26,34
eng_23_P09,english,outwards,3,35
eng_23_P09,english,inwards,4,36
eng_23_P09,english,outwards,8,37
eng_23_P09,english,inwards,29,38
eng_23_P09,english,outwards,28,39
eng_23_P09,english,inwards,18,40
eng_23_P09,english,outwards,19,41
eng_23_P09,english,inwards,17,42
eng_23_P09,english,outwards,5,43
eng_23_P09,english,inwards,8,44
eng_23_P09,english,outwards,12,45
eng_23_P09,english,inwards,21,46
eng_23_P09,english,outwards,11,47
eng_23_P09,english,inwards,25,48
eng_23_P09,english,outwards,24,49
eng_23_P09,english,inwards,28,50
eng_23_P09,english,outwards,7,51
eng_23_P09,english,inwards,16,52
eng_23_P09,english,outwards,20,53
eng_23_P09,english,inwards,21,54
eng_23_P09,english,outwards,25,55
eng_23_P09,english,inwards,3,56
eng_23_P09,english,outwards,2,57
eng_23_P09,english,inwards,27,58
eng_23_P09,english,outwards,17,59
eng_23_P09,english,inwards,25,60
eng_23_P09,english,outwards,18,61
eng_23_P09,english,inwards,9,62
eng_23_P09,english,outwards,3,63
eng_23_P09,english,inwards,7,64
eng_23_P09,english,outwards,2,65
eng_23_P09,english,inwards,18,66
eng_23_P09,english,outwards,15,67
eng_23_P09,english,inwards,22,68
eng_23_P09,english,outwards,27,69
eng_23_P09,english,inwards,25,70
eng_23_P09,english,outwards,5,71
eng_23_P09,english,inwards,15,72
eng_23_P09,english,outwards,6,73
eng_23_P09,english,inwards,7,74
eng_23_P09,english,outwards,23,75
eng_23_P09,english,inwards,12,76
eng_23_P09,english,outwards,2,77
eng_23_P09,english,inwards,22,78
eng_23_P09,english,outwards,25,79
eng_23_P10,english,outwards,1,1
eng_23_P10,english,inwards,30,2
eng_23_P10,english,outwards,28,3
eng_23_P10,english,inwards,18,4
eng_23_P10,english,outwards,13,5
eng_23_P10,english,inwards,10,6
eng_23_P10,english,outwards,5,7
eng_23_P10,english,inwards,8,8
eng_23_P10,english,outwards,18,9
eng_23_P10,english,inwards,13,12
eng_23_P10,english,outwards,20,13
eng_23_P10,english,inwards,24,14
eng_23_P10,english,outwards,21,15
eng_23_P10,english,inwards,27,16
eng_23_P10,english,outwards,17,17
eng_23_P10,english,inwards,14,18
eng_23_P10,english,outwards,13,19
eng_23_P10,english,inwards,3,20
eng_23_P10,english,outwards,5,21
eng_23_P10,english,inwards,1,22
eng_23_P10,english,outwards,30,23
eng_23_P10,english,inwards,26,24
eng_23_P10,english,outwards,25,25
eng_23_P10,english,inwards,14,26
eng_23_P10,english,outwards,25,27
eng_23_P10,english,inwards,26,28
eng_23_P10,english,outwards,6,29
eng_23_P10,english,inwards,5,30
eng_23_P10,english,outwards,10,31
eng_23_P10,english,outwards,9,33
eng_23_P10,english,inwards,2,34
eng_23_P10,english,outwards,25,35
eng_23_P10,english,inwards,2,36
eng_23_P10,english,outwards,26,37
eng_23_P10,english,inwards,27,38
eng_23_P10,english,outwards,28,39
eng_23_P10,english,inwards,29,40
eng_23_P10,english,outwards,13,41
eng_23_P10,english,inwards,1,42
eng_23_P10,english,outwards,2,43
eng_23_P10,english,inwards,4,44
